Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
13-May-2022,EQ,"23,000.00","23,080.05","22,400.00","22,627.40","22,480.00","22,565.35","22,712.90","31,469.95","21,650.00",44842,"1,018,491,800.60",13732
12-May-2022,EQ,"23,172.00","23,382.30","22,508.85","23,382.30","22,620.05","22,627.40","22,903.46","31,469.95","21,650.00",43801,"1,003,194,301.20",14756
11-May-2022,EQ,"24,460.00","24,740.00","23,251.05","24,300.60","23,499.00","23,382.30","23,654.20","31,469.95","21,650.00",43449,"1,027,751,262.20",15302
10-May-2022,EQ,"24,000.30","24,516.90","23,899.15","24,058.30","24,480.00","24,300.60","24,351.47","31,469.95","21,650.00",33489,"815,506,305.50",9925
09-May-2022,EQ,"23,880.00","24,187.70","23,500.05","23,973.65","24,169.00","24,058.30","23,867.89","31,469.95","21,650.00",35191,"839,934,821.60",12344
06-May-2022,EQ,"24,850.00","25,059.20","23,850.00","25,088.65","23,951.00","23,973.65","24,306.06","31,469.95","21,650.00",43939,"1,067,983,821.60",15445
05-May-2022,EQ,"25,427.30","26,100.00","25,018.10","25,193.50","25,150.00","25,088.65","25,459.21","31,469.95","21,650.00",33435,"851,228,748.60",11438
04-May-2022,EQ,"26,199.00","26,199.00","25,108.10","26,230.20","25,225.00","25,193.50","25,627.02","31,469.95","21,650.00",29265,"749,974,700.20",9217
02-May-2022,EQ,"25,812.85","26,284.75","25,601.45","25,921.50","26,200.00","26,230.20","26,032.21","31,469.95","21,650.00",33592,"874,473,991.25",10554
29-Apr-2022,EQ,"25,872.80","26,340.00","25,777.55","25,872.60","25,830.55","25,921.50","26,082.57","31,469.95","21,650.00",34276,"894,006,146.50",13233
28-Apr-2022,EQ,"25,890.00","26,075.00","25,482.40","25,574.80","25,830.00","25,872.60","25,796.13","31,469.95","21,650.00",27928,"720,434,228.15",9130
27-Apr-2022,EQ,"26,011.00","26,080.00","25,441.95","26,171.30","25,460.05","25,574.80","25,696.78","31,469.95","21,650.00",26064,"669,760,767.60",8882
26-Apr-2022,EQ,"25,975.00","26,330.75","25,840.50","25,649.60","26,031.20","26,171.30","26,162.91","31,469.95","21,650.00",26557,"694,808,320.80",9764
25-Apr-2022,EQ,"25,700.50","26,023.35","25,515.00","25,855.25","25,698.00","25,649.60","25,717.33","31,469.95","21,650.00",26453,"680,300,578.40",7617
22-Apr-2022,EQ,"25,801.10","26,015.00","25,605.85","26,056.55","25,901.05","25,855.25","25,850.64","31,469.95","21,650.00",17334,"448,095,056.10",5709
21-Apr-2022,EQ,"25,750.00","26,100.00","25,625.10","25,713.85","26,061.10","26,056.55","25,925.64","31,469.95","21,650.00",20640,"535,105,189.90",7240
20-Apr-2022,EQ,"25,099.00","25,775.00","24,880.05","24,860.90","25,775.00","25,713.85","25,525.72","31,469.95","21,650.00",46140,"1,177,756,711.25",13396
19-Apr-2022,EQ,"25,400.00","25,775.35","24,649.40","25,435.35","24,712.15","24,860.90","25,410.36","31,469.95","21,650.00",38327,"973,902,972.30",13255
18-Apr-2022,EQ,"25,170.00","25,500.05","24,900.00","25,363.55","25,420.15","25,435.35","25,292.83","31,469.95","21,650.00",34525,"873,234,850.80",11015
13-Apr-2022,EQ,"25,122.65","25,515.35","25,120.00","25,122.65","25,360.00","25,363.55","25,359.55","31,497.40","21,650.00",36907,"935,944,962.20",10857
12-Apr-2022,EQ,"25,100.00","25,399.95","24,850.00","25,203.65","25,079.35","25,122.65","25,149.85","31,497.40","21,650.00",46653,"1,173,315,909.60",12368
11-Apr-2022,EQ,"25,260.65","25,492.85","24,951.00","25,260.65","25,192.95","25,203.65","25,253.79","31,497.40","21,650.00",35975,"908,505,011.75",12282
08-Apr-2022,EQ,"24,750.00","25,290.00","24,601.85","24,742.50","25,265.00","25,260.65","25,041.33","32,048.00","21,650.00",29884,"748,335,088.80",10553
