Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
13-May-2022,EQ,"3,435.00","3,439.90","3,382.15","3,408.65","3,409.00","3,414.90","3,409.83","4,043.00","3,036.00",2187823,"7,460,096,134.45",148468
12-May-2022,EQ,"3,378.00","3,449.70","3,350.10","3,412.00","3,413.25","3,408.65","3,415.90","4,043.00","3,036.00",2807195,"9,589,106,457.90",194805
11-May-2022,EQ,"3,435.00","3,448.45","3,382.15","3,438.75","3,422.25","3,412.00","3,411.67","4,043.00","3,036.00",1841769,"6,283,511,939.40",144928
10-May-2022,EQ,"3,434.00","3,464.80","3,422.00","3,445.10","3,439.50","3,438.75","3,448.48","4,043.00","3,036.00",1622685,"5,595,800,071.90",145050
09-May-2022,EQ,"3,398.00","3,456.00","3,346.85","3,432.60","3,445.05","3,445.10","3,410.95","4,043.00","3,036.00",2481830,"8,465,389,113.20",163369
06-May-2022,EQ,"3,459.00","3,474.50","3,424.50","3,513.40","3,443.15","3,432.60","3,444.54","4,043.00","3,004.00",2010812,"6,926,321,262.70",184661
05-May-2022,EQ,"3,512.10","3,533.00","3,485.35","3,479.75","3,508.75","3,513.40","3,511.10","4,043.00","3,004.00",1612262,"5,660,812,779.40",93993
04-May-2022,EQ,"3,538.50","3,545.45","3,465.30","3,542.40","3,483.80","3,479.75","3,511.35","4,043.00","3,004.00",2305825,"8,096,556,485.00",174763
02-May-2022,EQ,"3,519.90","3,547.95","3,492.75","3,546.70","3,538.70","3,542.40","3,520.91","4,043.00","3,004.00",1324161,"4,662,247,237.85",118662
29-Apr-2022,EQ,"3,597.00","3,623.25","3,536.85","3,584.30","3,548.00","3,546.70","3,576.78","4,043.00","3,004.00",2051115,"7,336,393,454.55",107015
28-Apr-2022,EQ,"3,588.00","3,604.40","3,538.05","3,561.20","3,580.00","3,584.30","3,574.03","4,043.00","3,004.00",1703660,"6,088,933,925.50",122574
27-Apr-2022,EQ,"3,546.00","3,568.45","3,506.30","3,546.30","3,560.00","3,561.20","3,540.41","4,043.00","3,004.00",1727648,"6,116,579,202.75",111612
26-Apr-2022,EQ,"3,575.15","3,587.90","3,518.15","3,548.20","3,544.00","3,546.30","3,550.67","4,043.00","3,004.00",1943469,"6,900,626,735.65",139910
25-Apr-2022,EQ,"3,558.00","3,584.00","3,533.10","3,612.55","3,546.05","3,548.20","3,557.80","4,043.00","3,004.00",1960694,"6,975,753,255.70",146368
22-Apr-2022,EQ,"3,581.10","3,617.00","3,571.50","3,628.65","3,613.00","3,612.55","3,602.06","4,043.00","3,004.00",1581465,"5,696,536,818.60",93552
21-Apr-2022,EQ,"3,580.00","3,644.00","3,567.40","3,556.80","3,621.00","3,628.65","3,619.23","4,043.00","3,004.00",2280996,"8,255,439,639.10",136751
20-Apr-2022,EQ,"3,500.00","3,569.15","3,480.00","3,471.90","3,558.00","3,556.80","3,546.74","4,043.00","3,004.00",2640370,"9,364,702,419.10",185024
19-Apr-2022,EQ,"3,550.00","3,563.55","3,439.15","3,528.05","3,462.00","3,471.90","3,508.54","4,043.00","3,004.00",3170014,"11,122,129,456.75",208443
18-Apr-2022,EQ,"3,610.00","3,610.00","3,522.50","3,661.95","3,531.80","3,528.05","3,548.77","4,043.00","3,004.00",3820792,"13,559,130,603.80",324929
13-Apr-2022,EQ,"3,707.00","3,709.85","3,655.55","3,691.10","3,664.95","3,661.95","3,673.55","4,043.00","3,004.00",1621672,"5,957,287,429.65",103822
12-Apr-2022,EQ,"3,683.00","3,739.00","3,648.35","3,696.40","3,686.00","3,691.10","3,706.35","4,043.00","3,004.00",4483476,"16,617,340,654.70",254563
11-Apr-2022,EQ,"3,690.00","3,712.35","3,656.10","3,685.65","3,699.00","3,696.40","3,690.42","4,043.00","3,004.00",2291660,"8,457,191,677.85",171882
08-Apr-2022,EQ,"3,690.00","3,705.00","3,642.50","3,684.15","3,690.05","3,685.65","3,677.34","4,043.00","3,004.00",2296773,"8,446,026,504.20",134082
07-Apr-2022,EQ,"3,745.50","3,745.50","3,679.00","3,755.35","3,682.95","3,684.15","3,705.25","4,043.00","3,004.00",2494829,"9,243,973,241.15",149240
06-Apr-2022,EQ,"3,809.30","3,809.30","3,731.15","3,814.80","3,752.00","3,755.35","3,761.93","4,043.00","3,004.00",2051729,"7,718,464,770.35",132368
05-Apr-2022,EQ,"3,772.00","3,835.60","3,772.00","3,770.35","3,812.50","3,814.80","3,813.04","4,043.00","3,004.00",2314947,"8,826,982,342.80",163963
04-Apr-2022,EQ,"3,762.00","3,780.00","3,737.10","3,758.75","3,771.00","3,770.35","3,767.16","4,043.00","3,004.00",1472994,"5,548,997,654.95",101419
